year_region,CF_PV,perc_PV,CF_WT,perc_WT
AT11-1986,0.139791011,0.69,0.270618037,0.70
AT11-1987,0.128620267,0.60,0.303493037,0.79
AT11-1988,0.138309539,0.68,0.320354508,0.84
AT11-1989,0.140703114,0.70,0.268555936,0.69
AT11-1990,0.14313174,0.72,0.277191553,0.72
AT11-1991,0.139264926,0.69,0.255153767,0.65
AT11-1992,0.147126211,0.74,0.296003757,0.77
AT11-1993,0.135446476,0.65,0.293147374,0.77
AT11-1994,0.138179761,0.68,0.282617808,0.73
AT11-1995,0.131321015,0.62,0.300148174,0.78
AT11-1996,0.127373402,0.58,0.266022883,0.69
AT11-1997,0.143086196,0.72,0.287369064,0.75
AT11-1998,0.137685572,0.68,0.30542089,0.80
AT11-1999,0.133950715,0.65,0.284381963,0.74
AT11-2000,0.144851862,0.73,0.301741462,0.79
AT11-2001,0.13899158,0.69,0.30237089,0.79
AT11-2002,0.136597398,0.67,0.285450571,0.74
AT11-2003,0.150965029,0.77,0.259400342,0.67
AT11-2004,0.129135031,0.60,0.288577983,0.75
AT11-2005,0.135442662,0.65,0.280485731,0.73
AT11-2006,0.136063945,0.66,0.260464954,0.67
AT11-2007,0.142969862,0.72,0.29005879,0.75
AT11-2008,0.136532468,0.67,0.287288479,0.75
AT11-2009,0.138076002,0.68,0.269826027,0.70
AT11-2010,0.128930243,0.60,0.281281849,0.73
AT11-2011,0.148845695,0.75,0.257741096,0.66
AT11-2012,0.146332352,0.74,0.291764686,0.76
AT11-2013,0.126874929,0.57,0.27875879,0.72
AT11-2014,0.132674451,0.64,0.260817009,0.67
AT11-2015,0.141281579,0.70,0.275598059,0.71
AT12-1986,0.133678419,0.64,0.261960959,0.67
AT12-1987,0.121220946,0.46,0.29642032,0.77
AT12-1988,0.127526757,0.58,0.3146875,0.82
AT12-1989,0.130965877,0.62,0.261095548,0.67
AT12-1990,0.132609003,0.63,0.273315868,0.71
AT12-1991,0.128557756,0.59,0.24786153,0.63
AT12-1992,0.135924607,0.66,0.289430214,0.75
AT12-1993,0.125542257,0.55,0.289955708,0.75
AT12-1994,0.129418145,0.60,0.280638356,0.73
AT12-1995,0.120969567,0.46,0.297785046,0.78
AT12-1996,0.117838197,0.37,0.250019923,0.64
AT12-1997,0.130722734,0.62,0.271827055,0.70
AT12-1998,0.122940542,0.50,0.303706507,0.79
AT12-1999,0.125473824,0.55,0.275676484,0.71
AT12-2000,0.131312862,0.62,0.288713229,0.75
AT12-2001,0.122791886,0.50,0.280856393,0.73
AT12-2002,0.126978248,0.57,0.279438242,0.72
AT12-2003,0.140085852,0.70,0.247984475,0.63
AT12-2004,0.124455895,0.53,0.279571038,0.73
AT12-2005,0.126209115,0.56,0.269028311,0.69
AT12-2006,0.129158725,0.60,0.250426256,0.64
AT12-2007,0.132607355,0.63,0.284087329,0.74
AT12-2008,0.12409475,0.52,0.276111111,0.71
AT12-2009,0.125083426,0.54,0.256299772,0.66
AT12-2010,0.120513957,0.45,0.264174886,0.68
AT12-2011,0.137602547,0.68,0.2499879,0.64
AT12-2012,0.131618621,0.63,0.270638434,0.70
AT12-2013,0.116805333,0.34,0.262458219,0.68
AT12-2014,0.123893156,0.52,0.249267694,0.63
AT12-2015,0.1296792,0.61,0.263858219,0.68
AT13-1986,0.138236308,0.68,0.214308219,0.47
AT13-1987,0.125823676,0.56,0.244646233,0.62
AT13-1988,0.133615685,0.64,0.258699454,0.67
AT13-1989,0.135695444,0.66,0.212632877,0.47
AT13-1990,0.136759999,0.67,0.219639269,0.50
AT13-1991,0.133534283,0.64,0.196072146,0.38
AT13-1992,0.143744282,0.72,0.238041553,0.59
AT13-1993,0.130895114,0.62,0.234130708,0.57
AT13-1994,0.134890977,0.65,0.227763699,0.54
AT13-1995,0.126154425,0.56,0.245186644,0.62
