,,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
IT,c_PV_OPT,370731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,580749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1441214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,767782.8705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,993424.7938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1604100.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795,116.5392795
,p_E_AVG,0,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982,204.5336982
,p_E_PES,0,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564,350.5405564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,c_PV_OPT,361333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_AVG,566028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_PV_PES,1404682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_OPT,716632.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_AVG,927241.8912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,c_WT_PES,1497234.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,p_E_OPT,0,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324,28.90212324
