year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
lifetime_H2_discount,0,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000,65700000
c_EL_OPT,659836.6416,0,0,0,0,0,0,0,0,0,154613,0,0,0,0,0,0,0,0,0,0,107370,0,0,0,0,0
c_EL_AVG,1164612,0,0,0,0,0,0,0,0,257151,0,0,0,0,0,0,0,0,0,0,215813,0,0,0,0,0,0
c_EL_PES,1669378,0,0,0,0,0,0,361836,0,0,0,0,0,0,0,0,0,329625,0,0,0,0,0,0,0,0,0
OM_EL_OPT,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OM_EL_AVG,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
OM_EL_PES,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
c_B_OPT,275311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162536,0,0,0,0,0,0,0,0
c_B_AVG,372444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235638,0,0,0,0,0,0,0,0,0,0,0
c_B_PES,423475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316067,0,0,0,0,0,0,0,297482,0,0
OM_B,0,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
OM_PV,0,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273,17273
OM_WT,0,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455,25455
c_CP,9791,0,0,0,0,0,0,0,0,0,8678,0,0,0,0,0,0,0,0,0,8122,0,0,0,0,0,0
OM_CP,0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
c_ST,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_ETS_OPT,0,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748,0.026748
p_ETS_AVG,0,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985,0.085985
p_ETS_PES,0,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222,0.145222
T_LVAC,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_HVAC,33000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_HVAC_wires,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COST_RETROFIT,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
