Time step,ITH5PV,ITH5WT,NO03PV,NO03WT,ES42PV,ES42WT,UKC1PV,UKC1WT
0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,0,0.094,0,0.001,0,0.644,0,0.83
7,0,0.107,0,0,0,0.737,0,0.848
8,0,0.073,0,0,0,0.812,0,0.876
9,0,0.116,0,0.003,0,0.883,0,0.906
10,0,0.127,0,0.005,0,0.935,0,0.941
11,0,0.142,0,0.032,0,0.94,0,0.964
12,0,0.148,0,0.056,0,0.921,0,0.983
13,0,0.098,0,0.108,0,0.924,0,0.996
14,0.09159,0.086,0,0.145,0.02679,0.895,0,1.001
15,0.17381,0.079,0.02196,0.172,0.21838,0.884,0,1.002
16,0.2021,0.11,0.09437,0.172,0.4267,0.915,0.08573,0.997
17,0.24021,0.099,0.11412,0.167,0.62543,0.933,0.06703,0.989
18,0.25464,0.106,0.07658,0.141,0.66888,0.943,0.16322,0.981
19,0.23451,0.112,0.04004,0.113,0.6394,0.939,0.3198,0.97
20,0.18099,0.066,0.0176,0.11,0.56038,0.925,0.10441,0.974
21,0.09872,0.092,0,0.102,0.43436,0.879,0.00358,0.986
22,0,0.111,0,0.081,0.28079,0.817,0,0.992
23,0,0.111,0,0.048,0,0.818,0,0.994
24,0,0.148,0,0.03,0,0.813,0,0.992
25,0,0.115,0,0.037,0,0.798,0,0.989
26,0,0.099,0,0.055,0,0.757,0,0.986
27,0,0.105,0,0.081,0,0.659,0,0.984
28,0,0.116,0,0.095,0,0.556,0,0.981
29,0,0.132,0,0.096,0,0.474,0,0.975
30,0,0.152,0,0.054,0,0.399,0,0.96
31,0,0.168,0,0.01,0,0.322,0,0.943
32,0,0.172,0,0,0,0.256,0,0.929
33,0,0.16,0,0,0,0.245,0,0.923
34,0,0.15,0,0.003,0,0.25,0,0.922
35,0,0.142,0,0.035,0,0.242,0,0.921
36,0,0.137,0,0.079,0,0.232,0,0.915
37,0,0.128,0,0.101,0,0.221,0,0.902
38,0.04634,0.104,0,0.146,0.0288,0.206,0,0.888
39,0.07432,0.082,0.00514,0.192,0.23326,0.189,0,0.865
40,0.05813,0.066,0.01282,0.221,0.38284,0.247,0.04979,0.834
41,0.07135,0.05,0.0163,0.238,0.48836,0.37,0.03581,0.794
42,0.06577,0.041,0.01133,0.268,0.49721,0.464,0.02274,0.735
43,0.06693,0.012,0.00534,0.323,0.39666,0.536,0.02568,0.684
44,0.06707,0.013,0.01871,0.399,0.28471,0.592,0.00316,0.655
45,0.0385,0.022,0,0.454,0.21987,0.652,0.01915,0.62
46,0,0.03,0,0.474,0.11902,0.717,0,0.603
47,0,0.029,0,0.482,0,0.813,0,0.596
48,0,0.021,0,0.5,0,0.852,0,0.583
49,0,0.011,0,0.533,0,0.876,0,0.562
50,0,0.004,0,0.553,0,0.891,0,0.547
51,0,0.002,0,0.597,0,0.895,0,0.543
52,0,0.002,0,0.652,0,0.887,0,0.537
53,0,0.001,0,0.691,0,0.862,0,0.523
54,0,0.002,0,0.721,0,0.843,0,0.499
55,0,0.002,0,0.755,0,0.826,0,0.469
56,0,0.002,0,0.789,0,0.805,0,0.446
57,0,0.002,0,0.859,0,0.787,0,0.442
58,0,0.001,0,0.878,0,0.775,0,0.454
59,0,0.001,0,0.895,0,0.761,0,0.466
60,0,0.001,0,0.903,0,0.733,0,0.462
61,0,0.001,0,0.897,0,0.707,0,0.443
62,0.13409,0.001,0,0.882,0.02461,0.643,0,0.414
63,0.26033,0.006,0.00702,0.864,0.16819,0.569,0,0.362
64,0.29751,0.018,0.06577,0.851,0.26565,0.622,0.02562,0.309
65,0.32904,0.029,0.09099,0.85,0.36149,0.675,0.02862,0.259
66,0.34085,0.043,0.0597,0.852,0.3753,0.7,0.01726,0.229
67,0.3159,0.052,0.03261,0.849,0.38783,0.703,0.03307,0.221
68,0.24163,0.058,0.01998,0.836,0.36565,0.699,0.05697,0.225
69,0.12864,0.062,0,0.823,0.32107,0.645,0.02063,0.249
70,0,0.058,0,0.809,0.23885,0.589,0,0.27
71,0,0.047,0,0.806,0,0.614,0,0.267
72,0,0.032,0,0.805,0,0.612,0,0.241
73,0,0.021,0,0.806,0,0.602,0,0.209
74,0,0.018,0,0.807,0,0.586,0,0.179
75,0,0.031,0,0.821,0,0.536,0,0.161
76,0,0.049,0,0.824,0,0.493,0,0.136
77,0,0.077,0,0.818,0,0.464,0,0.107
78,0,0.112,0,0.809,0,0.443,0,0.081
79,0,0.161,0,0.797,0,0.418,0,0.063
80,0,0.185,0,0.775,0,0.405,0,0.054
81,0,0.17,0,0.751,0,0.405,0,0.04
82,0,0.161,0,0.728,0,0.425,0,0.03
83,0,0.156,0,0.707,0,0.437,0,0.025
84,0,0.154,0,0.689,0,0.428,0,0.027
85,0,0.147,0,0.672,0,0.417,0,0.037
86,0.18937,0.129,0,0.656,0.02963,0.382,0,0.053
87,0.36209,0.171,0.01,0.634,0.22156,0.394,0,0.073
88,0.46042,0.229,0.03022,0.62,0.33303,0.457,0.04204,0.084
89,0.52919,0.275,0.04545,0.607,0.46376,0.605,0.05165,0.063
90,0.53377,0.298,0.0317,0.618,0.50159,0.724,0.06797,0.051
91,0.4978,0.311,0.01283,0.573,0.50432,0.763,0.06358,0.04
92,0.40188,0.28,0.02153,0.511,0.44698,0.762,0.04827,0.031
93,0.21213,0.279,0,0.467,0.38074,0.69,0.02207,0.021
94,0,0.306,0,0.447,0.25246,0.549,0,0.016
95,0,0.327,0,0.41,0,0.523,0,0.018
96,0,0.353,0,0.334,0,0.491,0,0.027
97,0,0.467,0,0.267,0,0.438,0,0.039
98,0,0.495,0,0.213,0,0.358,0,0.063
99,0,0.462,0,0.181,0,0.302,0,0.107
100,0,0.493,0,0.152,0,0.252,0,0.123
101,0,0.518,0,0.122,0,0.252,0,0.154
102,0,0.527,0,0.088,0,0.277,0,0.18
103,0,0.509,0,0.046,0,0.297,0,0.207
104,0,0.472,0,0.037,0,0.284,0,0.22
